company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
CarGurus,996,"Boston, MA;Cambridge, MA",Consumer Goods & Services;Technology,"{'name': 'Large Size', 'short_name': 'large'}","CarGurus is dedicated to making the online car shopping experience more transparent by providing the data and information users need to make smart, empowered car shopping decisions.",,cargurus,https://www.themuse.com/companies/cargurus,https://www.themuse.com/search/jobs/c-cargurus,https://assets.themuse.com/uploaded/companies/996/small_logo.png?v=e84f4034c77348dbcec02d74757bfc8eb6987796b8abce4d15d949c68cf905db
Depop,12232,"Berlin, Germany",Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","Depop is a fashion marketplace where the next generation buys, sells, and gets inspired. ",,,https://www.themuse.com/companies/depop,https://www.themuse.com/search/jobs/c-depop,https://assets.themuse.com/uploaded/companies/12232/small_logo.png?v=20108290b4fbaf479fec4c46a602d31ed3938134a0e3255d93c098f75d99611c
Hachette Book Group,1496,"Berkeley, CA;Boston, MA;Boulder, CO;Chapel Hill, NC;Flexible / Remote;Lebanon, IN;Nashville, TN;New York, NY;North Adams, MA;Philadelphia, PA;Portland, OR",Consumer Goods & Services;Media,"{'name': 'Large Size', 'short_name': 'large'}",Hachette Book Group publishes great works for readers of all ages—as one of the largest trade and educational publishers in the world.,Fast Growing Companies,,https://www.themuse.com/companies/hachettebookgroup,https://www.themuse.com/search/jobs/c-hachettebookgroup,https://assets.themuse.com/uploaded/companies/1496/small_logo.png?v=63c8170635d6eb29aed553c5a68a289d7515289dc7a6e4832a9c1fd0e3fb133e
ADP,15000497,"West Caldwell, NJ",Software,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/adp,https://www.themuse.com/search/jobs/c-adp,https://assets.themuse.com/uploaded/companies/15000497/small_logo.png
The Los Angeles Times,15000072,"El Segundo, CA;Flexible / Remote",Media;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Los Angeles Times is a news media company that’s informing, engaging and empowering audiences across California and the country.",,,https://www.themuse.com/companies/thelosangelestimes,https://www.themuse.com/search/jobs/c-thelosangelestimes,https://assets.themuse.com/uploaded/companies/15000072/small_logo.png?v=ccd5770fdf2c92d352349374416a1b65fe27070d941c696ea8a5939d5f09d73b
Segra,15000295,"Charlotte, NC",Telecom,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/segra,https://www.themuse.com/search/jobs/c-segra,https://assets.themuse.com/uploaded/companies/15000295/small_logo.png
Qualtrics,15000313,"Provo, UT",Technology,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/qualtrics,https://www.themuse.com/search/jobs/c-qualtrics,https://assets.themuse.com/uploaded/companies/15000313/small_logo.png
Constellation Brands,15000270,"Rochester, NY",Technology,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/constellationbrands,https://www.themuse.com/search/jobs/c-constellationbrands,https://assets.themuse.com/uploaded/companies/15000270/small_logo.png
MetLife,12348,"New York, NY",Insurance,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/metlife,https://www.themuse.com/search/jobs/c-metlife,https://assets.themuse.com/uploaded/companies/12348/small_logo.png?v=842b7a0613d1a955839aa3cce5d448f30da370821731eee7a982776a95d84d96
CBRE,15000536,"Dallas, TX",Real Estate & Construction,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/cbre,https://www.themuse.com/search/jobs/c-cbre,https://assets.themuse.com/uploaded/companies/15000536/small_logo.png
Hootsuite,15000030,"Bucharest, Romania;Flexible / Remote;Hamburg, Germany;Hasselt, Belgium;London, United Kingdom;Madrid, Spain;Mexico City, Mexico;Milan, Italy;Montreal, Canada;New York, NY;Paris, France;Rome, Italy;Sydney, Australia;Toronto, Canada;Vancouver, Canada",Advertising and Agencies;Media;Social Media;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Hootsuite, the global leader in social media management, is trusted by more than 18 million customers and employees at over 80% of the Fortune 1000.",,,https://www.themuse.com/companies/hootsuite,https://www.themuse.com/search/jobs/c-hootsuite,https://assets.themuse.com/uploaded/companies/15000030/small_logo.png?v=25620301b4c62f5dfe9da168ee44855fb4fdaebe54d6177b898b99a3306b9dea
Lowe's Home Improvement,15000489,"Charlotte, NC;Mooresville, NC",Engineering;Information Technology;Retail;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Lowe’s Companies, Inc. is a FORTUNE® 50 home improvement company serving approximately 20 million customers a week in the United States. Lowe’s and its related businesses operate or service more than 2,200 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowe’s supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts.",,,https://www.themuse.com/companies/loweshomeimprovement,https://www.themuse.com/search/jobs/c-loweshomeimprovement,https://assets.themuse.com/uploaded/companies/15000489/small_logo.png
Skillz,12042,"Las Vegas, NV;Portland, OR;San Francisco, CA",Entertainment & Gaming,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/skillz,https://www.themuse.com/search/jobs/c-skillz,https://assets.themuse.com/uploaded/companies/12042/small_logo.png?v=1c74377b0a5c1cca47b9f6cfc594aa8ba4358ed21c1ecdfa567a8672f0cad8ab
Chainalysis,12329,"New York, NY",Financial Services;Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/chainalysis,https://www.themuse.com/search/jobs/c-chainalysis,https://assets.themuse.com/uploaded/companies/12329/small_logo.png?v=5a35469a5408854fde5b1e2f5e56df7238fa192db573f01d5032366031b20135
Storable,15000093,"Atlanta, GA;Austin, TX;Brushy Creek, TX;Chicago, IL;Denver, CO;Flexible / Remote;Madison, WI;Miami, FL;Philadelphia, PA;Raleigh, NC;Salt Lake City, UT;St. Louis, MO",Software;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","Storable makes software that helps storage operators do more: more revenue, more control, more of what they need to run a better business.",,,https://www.themuse.com/companies/storable,https://www.themuse.com/search/jobs/c-storable,https://assets.themuse.com/uploaded/companies/15000093/small_logo.png?v=234628d8f1f5c27b186a1ac021f6def0d4fe3af17857b9b5fb743b3139878bab
Sephora,25,"San Francisco, CA",Fashion & Beauty,"{'name': 'Large Size', 'short_name': 'large'}",Sephora is a cutting-edge beauty retailer that provides high-quality cosmetics and fragrances to a worldwide consumer base.,,,https://www.themuse.com/companies/sephora,https://www.themuse.com/search/jobs/c-sephora,https://assets.themuse.com/uploaded/companies/25/small_logo.png?v=a97db5facd6c0ca5c843be62502e88d4c8c5d31554468da993ce0b6df91057cf
"Patientory, Inc.",12371,"Atlanta, GA",Consumer Goods & Services;Healthcare,"{'name': 'Small Size', 'short_name': 'small'}",Patientory inc. is a healthcare data management company.,,,https://www.themuse.com/companies/patientoryinc,https://www.themuse.com/search/jobs/c-patientoryinc,https://assets.themuse.com/uploaded/companies/12371/small_logo.png?v=3ee1c5d6e3646f20786c234151e4c1e9c3ea5874ed26765ab02d210a655521a7
OneMain Financial,15000543,,,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/onemainfinancial,https://www.themuse.com/search/jobs/c-onemainfinancial,https://assets.themuse.com/uploaded/companies/15000543/small_logo.png
WellPower,1010,"Denver, CO",Healthcare;Non-Profit;Social Good,"{'name': 'Large Size', 'short_name': 'large'}","The Mental Health Center of Denver is a place for recovery, resilience, and well-being, known locally and nationally for innovative and effective community behavioral healthcare. ",,mhcd_news,https://www.themuse.com/companies/wellpower,https://www.themuse.com/search/jobs/c-wellpower,https://assets.themuse.com/uploaded/companies/1010/small_logo.png?v=57007b4800ef2251112305511a5572a15c4b894bf9821db307366614151432bd
Zoox,12287,"Foster City, CA",Technology;Travel and Hospitality,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/zoox,https://www.themuse.com/search/jobs/c-zoox,https://assets.themuse.com/uploaded/companies/12287/small_logo.png?v=e58b5b23853f9e69e4ce2eadb37e50ac4f05e057c89ce76b3d0bf88fdb55a37e
FRONTSTEPS,12082,"Berkeley, CA;Carlsbad, CA;Denver, CO;Mesa, AZ",Real Estate & Construction;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}",FRONTSTEPS is an all-in-one community association management software for every type of community. ,,,https://www.themuse.com/companies/frontsteps,https://www.themuse.com/search/jobs/c-frontsteps,https://assets.themuse.com/uploaded/companies/12082/small_logo.png?v=b4ca2873a4112056a027b71ac50bf812a6731a24c307237aa49ad97ce93f6c0a
FinancialForce,12319,"San Francisco, CA",Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/financialforce,https://www.themuse.com/search/jobs/c-financialforce,https://assets.themuse.com/uploaded/companies/12319/small_logo.png?v=f57608689a779362aa5c31a5ec8f7af279432f889d8db6c587b8336e030e222a
Unum Group,15000150,"Carlow, Ireland;Chattanooga, TN;Columbia, SC;Portland, ME;Reigate, United Kingdom",Financial Services;Insurance;Technology,"{'name': 'Large Size', 'short_name': 'large'}","At Unum Group, were a leading provider of disability benefits worldwide. We deliver this and other employee benefits for our client companies to help their employees protect their families, finances and futures. And we make it easy for people to use and manage their benefits, so they can get the most value from their coverage.",,,https://www.themuse.com/companies/unumgroup,https://www.themuse.com/search/jobs/c-unumgroup,https://assets.themuse.com/uploaded/companies/15000150/small_logo.png
PetMeds®,994,"Delray Beach, FL",Consumer Goods & Services,"{'name': 'Medium Size', 'short_name': 'medium'}","PetMeds provides pet owners with affordable access to prescription and OTC pet medications, as well as nutritional supplements and other pet care products for dogs, cats, and horses.",,1800petmeds,https://www.themuse.com/companies/petmeds,https://www.themuse.com/search/jobs/c-petmeds,https://assets.themuse.com/uploaded/companies/994/small_logo.png?v=9353ed0c8504769e739e2ac20067ba2d01858a4df78d7694998e0f4eb99217f9
Southern California Edison (SCE),12195,"Rosemead, CA",Energy;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Creating a clean energy future takes all kinds of talent and people. From craft workers to engineers, data scientists to environmental and cyber experts, and everything in between—we’re looking for people who are ready to chase down the future.

We’re a national leader in solar delivery and battery storage. And we’re supporting greener transport and helping to make electric vehicles more affordable. We’re cutting emissions and greenhouse gases to provide cleaner air for everyone. We’re making substantial investments in a clean energy future, for ourselves and for the next generation.",,,https://www.themuse.com/companies/southerncaliforniaedisonsce,https://www.themuse.com/search/jobs/c-southerncaliforniaedisonsce,https://assets.themuse.com/uploaded/companies/12195/small_logo.png
Openly,15000293,Flexible / Remote,Insurance,"{'name': 'Medium Size', 'short_name': 'medium'}",,,,https://www.themuse.com/companies/openly,https://www.themuse.com/search/jobs/c-openly,https://assets.themuse.com/uploaded/companies/15000293/small_logo.png
Broadridge,702,"Boston, MA;Long Island, NY;New York, NY;Newark, NJ",Financial Services;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Broadridge is the leading provider of investor communications and technology-driven solutions—helping broker-dealers, banks, mutual funds, and corporate issuers manage risk and accelerate growth.",,,https://www.themuse.com/companies/broadridge,https://www.themuse.com/search/jobs/c-broadridge,https://assets.themuse.com/uploaded/companies/702/small_logo.png?v=f4b10c13c5ea441aa73926aad80f42b1d3e724e619823266c057a52ff5a9ca45
Royal Caribbean Group,15000035,"Miami, FL",Consumer Goods & Services;Travel and Hospitality,"{'name': 'Large Size', 'short_name': 'large'}",Royal Caribbean Group is a leading cruise company with a global fleet of 60 ships traveling to more than 800 destinations worldwide.,,,https://www.themuse.com/companies/royalcaribbeangroup,https://www.themuse.com/search/jobs/c-royalcaribbeangroup,https://assets.themuse.com/uploaded/companies/15000035/small_logo.png?v=94a304997c41e3e3d2665d7df0a75454bbf053bba2d3a1ac19f415c14de9188f
Advia Credit Union,1618,"Kalamazoo, MI",Financial Services,"{'name': 'Large Size', 'short_name': 'large'}","Advia Credit Union offers easy-access financial solutions to more than 130,000 people.",,,https://www.themuse.com/companies/adviacreditunion,https://www.themuse.com/search/jobs/c-adviacreditunion,https://assets.themuse.com/uploaded/companies/1618/small_logo.png?v=097428c3772fbb5467938fdb3c8f4393d4b1db14f6ea21d0754d179fe9275f4b
