company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
Epic Insurance Brokers and Consultants,12013,"San Francisco, CA",Insurance,"{'name': 'Large Size', 'short_name': 'large'}",TBD,,,https://www.themuse.com/companies/epicinsurancebrokersandconsultants,https://www.themuse.com/search/jobs/c-epicinsurancebrokersandconsultants,https://assets.themuse.com/uploaded/companies/12013/small_logo.png?v=a460251a4590b3adc1ba3f414cc51ed2c6b97d20a9112388b1862d2192a5a8bd
Urban Bush Women,12136,"New York, NY",Arts & Music,"{'name': 'Small Size', 'short_name': 'small'}",UBW seeks to bring the untold and under-told histories and stories of disenfranchised people to light through dance. ,,,https://www.themuse.com/companies/urbanbushwomen,https://www.themuse.com/search/jobs/c-urbanbushwomen,https://assets.themuse.com/uploaded/companies/12136/small_logo.png?v=db0f48ab4eee451234de7a9b6bd9e804872f5ac8448993bf3732c22b49166aa6
Sanofi U.S.,12225,"Boston, MA;Bridgewater, NJ;Chattanooga, TN;Swiftwater, PA",Biotechnology,"{'name': 'Large Size', 'short_name': 'large'}","People at Sanofi are dedicated to making a difference in patients’ daily lives, enabling them to enjoy a healthier life.",,,https://www.themuse.com/companies/sanofius,https://www.themuse.com/search/jobs/c-sanofius,https://assets.themuse.com/uploaded/companies/12225/small_logo.png?v=8a39455c3f56beb7b9997a5cdf84f482a4e754d7542e2268f3010c03552ddad3
CGI,15000161,"Fairfax, VA",Consulting;Technology,"{'name': 'Large Size', 'short_name': 'large'}","At CGI, we use the power of technology to help clients drive forward their holistic digital transformation. We deliver comprehensive, scalable and sustainable services for our clients in the areas of digital transformation, advanced analytics, intelligent automation, cloud and IT modernization and sustainability.",,,https://www.themuse.com/companies/cgi,https://www.themuse.com/search/jobs/c-cgi,https://assets.themuse.com/uploaded/companies/15000161/small_logo.png
Mark Anthony Group,15000537,"Toronto, Canada",Food & Beverage;Manufacturing,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/markanthonygroup,https://www.themuse.com/search/jobs/c-markanthonygroup,https://assets.themuse.com/uploaded/companies/15000537/small_logo.png
Carewell,12032,"Charlotte, NC",Healthcare,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/carewell,https://www.themuse.com/search/jobs/c-carewell,https://assets.themuse.com/uploaded/companies/12032/small_logo.png?v=0792f68abb191ddd210debc9f1f05cb155777c9b5a8722b0e8cf06c5582cc35c
Netskope,15000451,"Santa Clara, CA",Software;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Netskope is a cloud security platform that provides solutions to help organizations secure their data and users in the cloud. Netskope's primary focus is on cloud security, and it offers a range of features to address various aspects of cloud security challenges.",,,https://www.themuse.com/companies/netskope,https://www.themuse.com/search/jobs/c-netskope,https://assets.themuse.com/uploaded/companies/15000451/small_logo.png
Verizon Communications,204,"New York, NY",Consumer Goods & Services,"{'name': 'Large Size', 'short_name': 'large'}",Verizon Wireless is the leading wireless provider in the U.S.—revolutionizing the way people connect and communicate. ,,,https://www.themuse.com/companies/verizoncommunications,https://www.themuse.com/search/jobs/c-verizoncommunications,https://assets.themuse.com/uploaded/companies/204/small_logo.png?v=5a27d523a65d458e2c7abf4002acd17128357b08e84dc697b59704d3ad5e0971
Instacart,11829,"Flexible / Remote;San Francisco, CA;Toronto, Canada",Consumer Goods & Services;Food & Beverage;Technology,"{'name': 'Large Size', 'short_name': 'large'}",Instacart is a North American leader in online grocery and one of the fastest-growing companies in e-commerce. ,,,https://www.themuse.com/companies/instacart,https://www.themuse.com/search/jobs/c-instacart,https://assets.themuse.com/uploaded/companies/11829/small_logo.png?v=f742c4ea20aa2c1fd594ecf25c8e00eb01745f168a0c56850d9e71bd2221fd70
TIAA,12340,"New York, NY",Insurance,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/tiaa,https://www.themuse.com/search/jobs/c-tiaa,https://assets.themuse.com/uploaded/companies/12340/small_logo.png?v=df62028fb4d59e0cb0bb3121a40a5f6807081aa0a072945244cfc48c57da6e5d
Publix,12060,"Lakeland, FL",Food & Beverage,"{'name': 'Large Size', 'short_name': 'large'}",TBD,,,https://www.themuse.com/companies/publix,https://www.themuse.com/search/jobs/c-publix,https://assets.themuse.com/uploaded/companies/12060/small_logo.png?v=de74e7f952f093fc4ae07521b725a271c08630a07cdda3b7c0e6904556c0a617
MediaCom,11775,"Ann Arbor, MI;Chicago, IL;Los Angeles, CA;New York, NY",Advertising and Agencies,"{'name': 'Large Size', 'short_name': 'large'}",MediaCom is a media advertising agency for a variety of global brands. ,,,https://www.themuse.com/companies/mediacom,https://www.themuse.com/search/jobs/c-mediacom,https://assets.themuse.com/uploaded/companies/11775/small_logo.png?v=cb734feb3293e31a5030cd237a9de64e12d126645c08d0dc198e46f0bd381e70
Braze,15000206,"Manhattan, NY",Client Services;Software,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/braze,https://www.themuse.com/search/jobs/c-braze,https://assets.themuse.com/uploaded/companies/15000206/small_logo.png
Garrett Advancing Motion,15000309,"Nyon, Switzerland",Engineering;Manufacturing;Technology,"{'name': 'Large Size', 'short_name': 'large'}","We are a global innovator and technology leader that enables vehicles to be cleaner, more efficient and connected. With a nearly 70-year legacy, we serve customers worldwide with passenger vehicle, commercial vehicle, aftermarket replacement, and performance enhancement solutions.
Our comprehensive portfolio of emission-reducing and zero-emission solutions advance sustainable motion, from world-class turbocharging and electric boosting technologies for hybrids, to electrified powertrains and automotive software.",,,https://www.themuse.com/companies/garrettadvancingmotion,https://www.themuse.com/search/jobs/c-garrettadvancingmotion,https://assets.themuse.com/uploaded/companies/15000309/small_logo.png
JustFix.nyc,11991,"New York, NY",Social Good,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/justfixnyc,https://www.themuse.com/search/jobs/c-justfixnyc,https://assets.themuse.com/uploaded/companies/11991/small_logo.png?v=cb23a0bcffdfddc866b015b2d000defec0a0e9855986b880ef71235cd14e99ed
Skyepoint Decisions,12070,"Dulles, VA",Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/skyepointdecisions,https://www.themuse.com/search/jobs/c-skyepointdecisions,https://assets.themuse.com/uploaded/companies/12070/small_logo.png?v=bb2352a4a4322664649689e2b4b2287f07ef4ef56012159b5390eb34481538b5
Wipro,15000238,"Bangalore, India",Consulting,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/wipro,https://www.themuse.com/search/jobs/c-wipro,https://assets.themuse.com/uploaded/companies/15000238/small_logo.png
